ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-003430","CCLF_PANC_0002_T","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",NA,FALSE,"HMGCR"
"ACH-003433","CCLF_PANC_0019_T","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",NA,FALSE,"HMGCR"
"ACH-003437","CCLF_UPGI_0078_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD",NA,FALSE,"HMGCR"
"ACH-003438","CCLF_NEURO_0005_T","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",NA,FALSE,"HMGCR"
"ACH-003451","CCLF_PEDS_0048_T","Kidney","Wilms' Tumor","Wilms' Tumor","WT",NA,FALSE,"HMGCR"
"ACH-003455","CCLF_MELM_0004_T","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HMGCR"
"ACH-003456","CCLF_MELM_0006_T","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HMGCR"
"ACH-003457","CCLF_MELM_0038_T","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HMGCR"
"ACH-003458","CCLF_MELM_0010_T","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HMGCR"
"ACH-003459","CCLF_MELM_0011_T","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HMGCR"
"ACH-003460","CCLF_HEME_0001_T","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS",NA,FALSE,"HMGCR"
"ACH-003463","CCLF_HEME_0004_T","Lymphoid","Mature T and NK Neoplasms","T-Cell Prolymphocytic Leukemia","TPLL",NA,FALSE,"HMGCR"
"ACH-003464","CCLF_NPDX_0008_T","Soft Tissue","Liposarcoma","Liposarcoma","LIPO",NA,FALSE,"HMGCR"
"ACH-003465","CCLF_HNSC_0004_T","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","HNSC",NA,FALSE,"HMGCR"
"ACH-003468","CCLF_THYR_0003_T","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","THAP",NA,FALSE,"HMGCR"
"ACH-003469","CCLF_THYR_0004_T","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","THAP",NA,FALSE,"HMGCR"
"ACH-003470","CCLF_THYR_0005_T","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","THAP",NA,FALSE,"HMGCR"
"ACH-003471","CCLF_THYR_0006_T","Thyroid","Well-Differentiated Thyroid Cancer","Papillary Thyroid Cancer","THPA",NA,FALSE,"HMGCR"
"ACH-003472","CCLF_THYR_0009_T","Thyroid","Medullary Thyroid Cancer","Medullary Thyroid Cancer","THME",NA,FALSE,"HMGCR"
"ACH-003473","CCLF_PEDS_0013_T","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma","ERMS",NA,FALSE,"HMGCR"
"ACH-003474","CCLF_HNSC_0001_T","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","HNSC",NA,FALSE,"HMGCR"
"ACH-003475","CCLF_HNSC_0003_T","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","HNSC",NA,FALSE,"HMGCR"
"ACH-003476","CCLF_HNSC_0002_T","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","HNSC",NA,FALSE,"HMGCR"
"ACH-003480","CCLF_THYR_0001_T","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","THAP",NA,FALSE,"HMGCR"
